"","Date","Period","ID1","ID2"
"1","6/2/21","1","MN62","MN39"
"2","6/2/21","1","MN62","MN45"
"3","6/2/21","1","MN62","MN56"
"4","6/2/21","1","MN62","MN67"
"5","6/2/21","1","MN62","MN33"
"6","6/2/21","1","MN62","MN43"
"7","6/2/21","1","MN39","MN45"
"8","6/2/21","1","MN39","MN56"
"9","6/2/21","1","MN39","MN67"
"10","6/2/21","1","MN39","MN33"
"11","6/2/21","1","MN39","MN43"
"12","6/2/21","1","MN45","MN56"
"13","6/2/21","1","MN45","MN67"
"14","6/2/21","1","MN45","MN33"
"15","6/2/21","1","MN45","MN43"
"16","6/2/21","1","MN56","MN67"
"17","6/2/21","1","MN56","MN33"
"18","6/2/21","1","MN56","MN43"
"19","6/2/21","1","MN67","MN33"
"20","6/2/21","1","MN67","MN43"
"21","6/2/21","1","MN33","MN43"
"22","6/2/21","1","MN44","MN19"
"23","6/2/21","1","MN40","MN21"
"24","6/2/21","1","MN41","MN61"
"25","6/2/21","1","MN28","MN2"
"26","6/2/21","1","MN8","MN22"
"27","6/2/21","1","MN8","MN36"
"28","6/2/21","1","MN22","MN36"
"29","6/2/21","1","MN55","MN29"
"30","6/2/21","1","MN55","MN76"
"31","6/2/21","1","MN29","MN76"
"32","6/2/21","1","MN20","MN65"
"33","6/2/21","1","MN20","MN54"
"34","6/2/21","1","MN20","MN64"
"35","6/2/21","1","MN65","MN54"
"36","6/2/21","1","MN65","MN64"
"37","6/2/21","1","MN54","MN64"
"38","6/2/21","1","MN7","MN63B"
"39","6/3/21","1","MN43","MN45"
"40","6/3/21","1","MN43","MN56"
"41","6/3/21","1","MN43","MN39"
"42","6/3/21","1","MN43","MN67"
"43","6/3/21","1","MN45","MN56"
"44","6/3/21","1","MN45","MN39"
"45","6/3/21","1","MN45","MN67"
"46","6/3/21","1","MN56","MN39"
"47","6/3/21","1","MN56","MN67"
"48","6/3/21","1","MN39","MN67"
"49","6/3/21","1","MN21","MN40"
"50","6/3/21","1","MN63B","MN41"
"51","6/3/21","1","MN2","MN28"
"52","6/3/21","1","MN36","MN22"
"53","6/3/21","1","MN36","MN8"
"54","6/3/21","1","MN36","MN57"
"55","6/3/21","1","MN22","MN8"
"56","6/3/21","1","MN22","MN57"
"57","6/3/21","1","MN8","MN57"
"58","6/3/21","1","MN35","MN55"
"59","6/3/21","1","MN35","MN59"
"60","6/3/21","1","MN55","MN59"
"61","6/3/21","1","MN54","MN20"
"62","6/3/21","1","MN54","MN61"
"63","6/3/21","1","MN20","MN61"
"64","6/3/21","1","MN49","MN1"
"65","6/4/21","1","MN19","MN62"
"66","6/4/21","1","MN61","MN18"
"67","6/4/21","1","MN54","MN56"
"68","6/4/21","1","MN31","MN51"
"69","6/4/21","1","MN31","MN40"
"70","6/4/21","1","MN31","MN59"
"71","6/4/21","1","MN51","MN40"
"72","6/4/21","1","MN51","MN59"
"73","6/4/21","1","MN40","MN59"
"74","6/4/21","1","MN35","MN7"
"75","6/4/21","1","MN35","MN8"
"76","6/4/21","1","MN35","MN1"
"77","6/4/21","1","MN35","MN69"
"78","6/4/21","1","MN35","MN14"
"79","6/4/21","1","MN35","MN76"
"80","6/4/21","1","MN7","MN8"
"81","6/4/21","1","MN7","MN1"
"82","6/4/21","1","MN7","MN69"
"83","6/4/21","1","MN7","MN14"
"84","6/4/21","1","MN7","MN76"
"85","6/4/21","1","MN8","MN1"
"86","6/4/21","1","MN8","MN69"
"87","6/4/21","1","MN8","MN14"
"88","6/4/21","1","MN8","MN76"
"89","6/4/21","1","MN1","MN69"
"90","6/4/21","1","MN1","MN14"
"91","6/4/21","1","MN1","MN76"
"92","6/4/21","1","MN69","MN14"
"93","6/4/21","1","MN69","MN76"
"94","6/4/21","1","MN14","MN76"
"95","6/4/21","1","MN45","MN48"
"96","6/4/21","1","MN45","MN70"
"97","6/4/21","1","MN45","MN2"
"98","6/4/21","1","MN48","MN70"
